"d34_mid","d34_uime","n8","address","description","latitude","longitude"
,"Upravni center Mozirje (sejna soba Občine Mozirje)",5006,"Šmihelska cesta 2, 3330 Mozirje","","46.3406173","14.9656081"
,"Upravna enota Velenje (učilnica v II.nadstropju)",5007,"Rudarska 6a, 3320 Velenje ","","46.3592008","15.1136985"
,"Sedež OVK (učilnica, 2. nadstropje)",5008,"Rudarska cesta 6a, 3320 Velenje","","46.3592008","15.1136985"
,"Upravna enota Slovenj Gradec",5009,"Meškova ulica 21, 2380 Slovenj Gradec","","46.5104498","15.0813811"
,"Občina Ravne na Koroškem",5010,"Gačnikova pot 5, 2390 Ravne na Koroškem","","46.5437646","14.9625755"
,"Upravna enota Radlje ob Dravi",5011,"Mariborska cesta 7, 2360 Radlje ob Dravi","","46.6146927","15.2246171"
,"UE Dravograd",5011,"Meža 10, 2370 Dravograd","","46.5865739","15.0248973"
,"Upravna enota Metlika",6001,"Naselje Borisa Kidriča 14, 8330 Metlika ","","45.6457365","15.3171453"
,"Dom Joža Ažmana",1002,"Triglavska 16, 4264 Bohinjska Bistrica","","46.27263079999999","13.9560425"
,"Občina Bled (poročna dvorana)",1002," Cesta svobode 13, 4260 Bled ","","46.3687079","14.1095897"
,"Občina Radovljica (mala sejna soba) ",1003,"Gorenjska cesta 19, 4240 Radovljica","","46.3438093","14.1715796"
,"Mestna občina Kranj ",1004,"Slovenski trg 1, 4000 Kranj","","46.243268","14.3557455"
,"Šmartinski dom Stražišče",1005,"Škofjeloška cesta 18, 4000 Kranj","","46.2316283","14.3463998"
,"Mestna občina Kranj",1006,"Slovenski trg 1, 4000 Kranj","","46.243268","14.3557455"
,"Društvo upokojencev Tržič",1007,"Trg svobode 18, 4290 Tržič","","46.3635438","14.3089991"
,"Občina Škofja Loka",1008,"Mestni trg 15, 4220 Škofja Loka ","","46.1647809","14.3070954"
,"Občina Železniki,",1009,"Česnjica 48, 4228 Železniki","","46.2261866","14.1750681"
,"Občina Gorenja vas - Poljane",1009,"Poljanska cesta 87, 4224 Gorenja vas","","46.1056606","14.1385055"
,"Občina Kamnik",1010,"Glavni trg 24, 1240 Kamnik","","46.2263678","14.6122718"
,"Upravna enota Idrija (sejna soba) ",1011,"Študentovska ulica 2, 5280 Idrija","","46.00128240000001","14.021122"
,"Upravna enota Tolmin",2001,"Tumov drevored 4, 5220 Tolmin","","46.1830584","13.7313528"
,"UE Piran",2002,"Obala 114 a, 6320 Portorož - Portorose","","45.502888","13.6036542"
,"Okrajna volilna komisija",2003,"Cesta v Pregavor 3 a, 6310 Izola - Isola","","45.5299253","13.6669793"
,"Upravna enota Koper",2004,"Piranska cesta 2, 6000 Koper - Capodistria","","45.5442863","13.7259823"
,"Upravna enota Koper",2005,"Piranska cesta 2, 6000 Koper - Capodistria ","","45.5442863","13.7259823"
,"Stara stavba Občine Sežana",2006,"Partizanska cesta 4, 6210 Sežana","","45.7098424","13.8740761"
,"Dom na Vidmu",2007,"Gregorčičeva cesta 2, 6250 Ilirska Bistrica","","45.5673205","14.2433943"
,"Kulturni dom Postojna (avla) ",2008,"Gregorčičev drevored 2 a, 6230 Postojna ","","45.774956","14.2149413"
,"Sedež OVK",2009,"Trg Edvarda Kardelja 1, 5000 Nova Gorica","","45.9572629","13.6488414"
,"Upravna enota Nova Gorica",2010,"Trg Edvarda Kardelja 1, 5000 Nova Gorica","","45.9572629","13.6488414"
,"Upravna enota Ajdovščina",2011,"Vipavska cesta 11b, 5270 Ajdovščina","","45.8854392","13.9115639"
,"Upravni center Logatec (mala sejna soba) ",3001,"Tržaška cesta 50A, 1370 Logatec","","45.9177454","14.2226931"
,"UE Cerknica ",3001,"Cesta 4. maja 24, 1380 Cerknica","","45.793266","14.3666196"
,"Upravna enota Vrhnika",3002,"Stara Vrhnika 1d, 1360 Vrhnika","","45.9737838","14.2898717"
,"Gospodarsko razstavišče (Marmorna dvorana) ",3003,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",3004,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",3005,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",3006,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",3007,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",3008,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",3009,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",3010,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",3011,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Občina Kočevje",4001,"Ljubljanska cesta 26, 1330 Kočevje ","","45.6429164","14.8557432"
,"UE Ribnica",4002,"Gorenjska cesta 9, 1310 Ribnica","","45.7411193","14.7252816"
,"Družbeni dom Grosuplje",4003,"Taborska cesta 1, 1290 Grosuplje","","45.9571274","14.6533203"
,"Kulturni dom Ivančna Gorica",4004,"Sokolska ulica 4, 1295 Ivančna Gorica","","45.9387023","14.8044599"
,"Gospodarsko razstavišče (Marmorna dvorana) ",4005,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",4006,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",4007,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",4008,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Gospodarsko razstavišče (Marmorna dvorana) ",4009,"Dunajska cesta 18, 1000 Ljubljana ","","46.0611219","14.5078957"
,"Društvo Lipa Domžale",4010,"Ljubljanska 58, 1230 Domžale","","46.1380262","14.5910958"
,"Društvo Lipa Domžale",4011,"Ljubljanska 58, 1230 Domžale","","46.1380262","14.5910958"
,"Občina Šentjur (sejna soba, pritličje občinske stavbe)",5001,"Mestni trg 10, 3230 Šentjur ","","46.2169736","15.3939029"
,"UE Celje",5002,"Ljubljanska cesta 1, 3000Celje","","46.2294595","15.2609484"
,"UE Celje",5003,"Ljubljanska cesta 1, 3000 Celje","","46.2294595","15.2609484"
,"UE Žalec ",5004,"Ulica Savinjske čete 5, 3310 Žalec","","46.250406","15.1641877"
,"UE Žalec",5005,"Ulica Savinjske čete 5, 3310 Žalec","","46.250406","15.1641877"
,"Upravna enota Črnomelj",6001,"Zadružna cesta 16, 8340 Črnomelj","","45.5793511","15.1959748"
,"Upravna enota Novo mesto",6002,"Defranceschijeva ulica 1, 8000 Novo mesto","","45.8039406","15.1647527"
,"Upravna enota Novo mesto",6003,"Defranceschijeva ulica 1, 8000 Novo mesto","","45.8039406","15.1647527"
,"Občina Trebnje (sejna soba)",6004,"Goliev trg 5, 8210 Trebnje ","","45.9080153","15.0077466"
,"Upravna enota Brežice ",6005,"Cesta prvih borcev 24a, 8250 Brežice","","45.9043876","15.5928268"
