"d34_mid","d34_uime","n8","address","description","latitude","longitude"
17366785,"Dom upokojencev dr. Franceta Berglja, pritličje stavbe C",101013,"Ulica Staneta Bokala 4, 4270 Jesenice","","46.442967749999994","14.039553374358157"
17588761,"ŠPORTNI PARK, POSLOVALNICA DOMINVEST-a",103018,"Ulica Staneta Žagarja 2b, 4240 Radovljica","","46.3480843","14.16987856084528"
17688430,"Prostori Društva upokojencev",108005,"Partizanska cesta 1, 4220 Škofja Loka","","46.1696257","14.3090516"
18128632,"Prostor pri bivši trgovini Ana",401049,"Bosljiva Loka 15a, 1337 Osilnica","","45.5125334","14.7656422"
18414686,"Dom Podgrad",405016,"Podgrajska cesta 6e, 1000 Ljubljana","","46.0541963","14.5197004"
17908669,"Družbeni center Krka",404017,"Krka 1d, 1301 Krka","","45.8829562","14.785639873510073"
18416336,"SŠ za gastronomijo in turizem",406022,"Preglov trg 9, 1000 Ljubljana","","46.05254559999999","14.5588408"
21208493,"Dom kulture Braslovče I.",505020,"Braslovče 2a, 3314 Braslovče","","46.2880914","15.0397466"
20768410,"Športni dom Dolič",509005,"Gornji Dolič 42a, 2382 Mislinja","","46.4244151","15.1869265"
16914061,"ZASTOR d.o.o.",608004,"Spodnja Rečica 87, 3270 Laško","","46.163114","15.215353"
16586277,"ZOBOZDRAVSTVENI ZAVOD VERTAČNIK",703003,"Dobrava pri Konjicah 3b, 3210 Slovenske Konjice","","46.3455834","15.412964"
19117910,"ANDY BAR (pri MIČU-TISK)",806010,"Ljutomerska cesta 6, 9250 Gornja Radgona","","46.6711124","15.9945774"
21014087,"Večnamenska dvorana Vitomarci",809002,"Vitomarci 48a, 2255 Vitomarci","","46.5245749","15.9350217"
21012661,"Vaški dom Župečja vas",811024,"Župečja vas 29, 2324 Lovrenc na Dravskem polju","","46.37909165","15.762989179592005"
17028855,"Avditorij Portorož",202005,"Senčna pot 8A, 6320 Portorož","","45.5151792","13.5832032"
16923826,"Grad Dolnji Zemon ",207021,,"","45.546911","14.262317"
17601687,"Vrtec Rateče",101001,"Rateče 18, 4283 Rateče Planica","","46.49604129999999","13.7198115"
17366645,"KS Podkoren",101002,"Podkoren 15, 4280 Podkoren","","46.4934356","13.7574636"
17366653,"Občina Kr. Gora",101003,"Kolodvorska ulica 1, 4280 Kranjska Gora","","46.4847207","13.7855433"
20552450,"Dom krajanov Razbor",607017,,"","46.059367","15.25695"
17265377,"Vaški dom Javorje ",206069,,"","46.159461","14.177931"
16923834,"Vaški dom Gornji Zemon",207022,,"","45.534439","14.281814"
16923842,"Pavlica 6",207023,"Pavlica 6, 6244 Podgrad","","45.5215225","14.1994735"
16923869,"Starod 49 a",207024,"Starod 49a, 6244 Podgrad","","45.498622","14.194423"
16923877,"Osnovna šola Podgrad",207025,"Podgrad 99b, 6244 Podgrad","","45.5240979","14.1435366"
16923885,"Vaški dom Podbeže",207026,,"","45.546603","14.152569"
16923893,"Račice, Na plesišču",207027,,"","45.513375","14.161514"
16923907,"Vaški dom Sabonje",207028,"Sabonje 47, 6250 Ilirska Bistrica","","45.5349694","14.182415"
16923915,"Vaški dom Hrušica",207029,"Hrušica 48, 6244 Podgrad","","45.5417062","14.1194241"
16923923,"Osnovna šola Pregarje",207030,"Pregarje 18, 6243 Obrov","","45.5792575","14.1316635"
16923931,"Vaška brunarica Prelože",207031,,"","45.602419","14.132117"
16923940,"Vaški dom Zajelšje",207032,,"","45.563561","14.158336"
16923958,"Društveni prostori , Tominje",207033,,"","45.563225","14.173842"
16923966,"Stavba bivše šole Harije",207034,,"","45.55405","14.199847"
16923974,"Gostilna Pizzeria ŠKORPION ",207035,"Rečica 1a, 6250 Ilirska Bistrica","","45.5734707","14.2246996"
16923982,"Bivša šolska stavba Ostrožno Brdo",207036,,"","45.620267","14.124406"
16924008,"Janeževo Brdo 12",207037,"Janeževo Brdo 12, 6255 Prem","","45.6093136","14.1515519"
16924016,"Kilovče 13",207038,"Kilovče 13, 6255 Prem","","45.6192894","14.18652"
16924024,"Prem 1",207039,"Prem 1, 6255 Prem","","45.604597","14.183364"
16924032,"Ratečevo Brdo 2",207040,"Ratečevo Brdo 2, 6255 Prem","","45.6184597","14.2034915"
16924059,"Bivša OŠ, Prem",207041,,"","45.604597","14.183364"
16924067,"Čelje - dvorana KS",207042,,"","45.580186","14.167442"
16924075,"Smrje 56",207043,"Smrje 56, 6255 Prem","","45.5942722","14.19096"
16924083,"Vaški dom Topolc",207044,,"","45.584397","14.215822"
16924091,"Mereče 22",207045,"Mereče 22, 6250 Ilirska Bistrica","","45.6039934","14.2144875"
16926272,"Pomožni vaški prostor Podstenje",207046,,"","45.599008","14.221003"
16924105,"Prostori KS Šembije",207047," Šembije 70, 6253 Knežak","","45.6025378","14.236677"
16924113,"Gasilski dom Knežak",207048,"Knežak 177, 6253 Knežak","","45.6241012","14.2462145"
16924121,"Na balincu, Bač",207049,,"","45.631497","14.262494"
16924130,"Gasilski dom  Koritnice",207050,"Koritnice 12, 6253 Knežak","","45.6222278","14.283914"
17137697,"Osnovna šola Pivka",208001,"Prečna ulica 3, 6257 Pivka","","45.6839851","14.1935444"
17137719,"Osnovna šola Pivka",208002,"Prečna ulica 3, 6257 Pivka","","45.6839851","14.1935444"
17137948,"Osnovna šola Pivka",208003,"Prečna ulica 3, 6257 Pivka","","45.6839851","14.1935444"
17138103,"Gasilski dom Palčje",208005,"Palčje 29, 6257 Pivka","","45.6768411","14.258989"
17137735,"Kulturni dom Juršče",208006,"Juršče 36, 6257 Pivka","","45.664606","14.2938076"
17137956,"Gasilski dom Zagorje",208007,"Zagorje 53, 6257 Pivka","","45.6410126","14.2251047"
17137743,"Osnovna šola Šmihel",208008,"Šmihel 30, 6257 Pivka","","45.6514953","14.1794581"
17137964,"O.Š. Košana ",208009,"Dolnja Košana 61, 6256 Košana","","45.6652181","14.1272215"
17137751,"Hiša Požar",208010,"Čepno 15, 6256 Košana","","45.6711625","14.0965562"
17137760,"Hiša Dolgan Volče",208011,,"","46.174242","13.711972"
17137891,"Hiša Biščak Anton, Buje",208012,"Buje 5, 6217 Vremski Britof","","45.654297","14.0871806"
17137972,"Vaška hiša",208013,"Suhorje 23a, 6217 Vremski Britof","","45.6379617","14.105797"
17138120,"Stara  o.š.",208014,"Kal 90,6257 Pivka","","45.6789296","14.2542689"
17138162,"Gostilna Miranda",208015,"Selce 9, 6257 Pivka","","45.7045206","14.1900582"
17137999,"Srednja gozdarska in lesarska šola Postojna",208016,"Tržaška cesta 36, 6230 Postojna","","45.7741842","14.2069199"
17137778,"Inštitut za raziskovanje Krasa ZRC SAZU",208017,"Titov trg 2, 6230 Postojna","","45.7754408","14.2129844"
17137905,"Kulturni dom Postojna",208018,"Gregorčičev drevored 2a, 6230 Postojna","","45.774956","14.2149413"
17138006,"Kulturni dom Postojna",208019,"Gregorčičev drevored 2a, 6230 Postojna","","45.774956","14.2149413"
17137786,"Gostilna ""Brne""",208020,"Ljubljanska cesta 32, 6230 Postojna","","45.7785524","14.2164282"
17137794,"O.Š. Antona Globočnika Postojna",208021,"Cesta na Kremenco 2, 6230 Postojna","","45.7726313","14.2133768"
17137808,"O.Š. Antona Globočnika Postojna",208022,"Cesta na Kremenco 2, 6230 Postojna","","45.7726313","14.2133768"
17138111,"O.Š. Antona Globočnika Postojna",208023,"Cesta na Kremenco 2, 6230 Postojna","","45.7726313","14.2133768"
17138014,"O.Š. Antona Globočnika Postojna",208024,"Cesta na Kremenco 2, 6230 Postojna","","45.7726313","14.2133768"
17137816,"O.Š. Antona Globočnika Postojna",208025,"Cesta na Kremenco 2, 6230 Postojna","","45.7726313","14.2133768"
17137824,"Dom upokojencev Postojna",208027,"Rožna ulica 10, 6230 Postojna","","45.7657581","14.2130804"
17267809,"Tomačevica, Vaški dom",206029,,"","45.816711","13.773247"
17255118,"Sveto, Stara šola, št.68",206030,,"","45.824442","13.731122"
17255126,"Škrbina, Stara šola",206031,,"","45.842392","13.735219"
17255134,"Ivanji grad, Vaški dom",206032,,"","45.818708","13.709244"
17255142,"Brje pri Komnu, Vaški dom",206033,,"","45.784608","45.784608"
17255169,"Gorjansko, v kotičku kulturnega doma",206034,,"","45.801242","13.716467"
17255177,"Brestovica pri Komnu,Vaška skupnost, št.55",206035,,"","45.811733","13.643011"
17255185," Zadružni dom",206036,"Štanjel št.59a, 6222 Štanjel","","45.82189710000001","13.8439788"
17255193,"Vaška skupnost Gornja Branica",206037,"Kodreti 10, 6222 Štanjel","","45.8165595","13.8886197"
17255207,"Kobjeglava, Vaški dom, št.75",206038,,"","45.815897","13.80685"
17255215,"Hruševica, Vaški dom",206039,,"","45.810631","13.828194"
17255223,"Divača, Osnovna šola",206040,"Ulica dr. Bogomira Magajne 4, 6215 Divača","","45.6828854","13.9678909"
17255231,"Doljne Ležeče, gostilna pri Čotniku",206041,"Dolnje Ležeče 22, 6215 Divača","","45.67811469999999","13.981866"
17255240,"Naklo, Vaški dom",206042,,"","46.274914","14.317625"
17255258,"Dane pri Divači, Vaški dom",206043,,"","45.649967","13.983325"
17255266,"Famlje, v objektu nekdanjega LIV-a",206044,,"","45.660908","14.020728"
17255274,"v privat hiši Jožeta Čeperja",206045,"Gornje Ležeče 16. 6217 Vremski Britof","","45.6672348","14.0710269"
17255282,"Barka, Stara osnovna šola",206046,,"","45.639936","14.05175"
17255304,"Vareje, Vaški dom ob balinišču",206047,,"","45.627708","14.031564"
17255312,"Senožeče, večnamenska dvorana Rudolfa  Cvetka",206048,,"","45.718658","14.039503"
17255339,"Zadružni dom Dolenja vas",206049,"Dolenja vas 11, 6224 Senožeče","","45.73241160000001","14.0111387"
17255347,"Vaški dom Hrpelje",206050,"Na gorici 2a, 6240 Kozina","","45.6030156","13.9468271"
17255355,"Gostilna Križman",206051,"Tublje pri Hrpeljah 24, 6240 Kozina","","45.5942267","13.9735839"
17255363,"Vaški dom Krvavi potok",206052,,"","45.618961","13.909511"
17255371,"Prostori knjižnice ",206053," Istrska 19,6240 Kozina","","45.6062694","13.9349054"
17255380,"Vaški dom Vrhpolje",206054,,"","45.864656","13.962683"
17255401,"Vaški dom Artviže",206055,"Artviže 6a, 6242 Materija","","45.6130845","14.027297"
17255410,"Prostori krajevne skupnosti Gradišče pri Materiji",206056,,"","45.552372","14.061547"
17254774,"Gasilski dom",206057,"Bač pri Materiji 28b, 6242 Materija","","45.5768915","14.0036571"
17255428,"Brezovica, Vaški dom",206058,,"","45.948032","14.418034"
17255436,"Vaški hiša",206059,"Ocizla 36, 6240 Kozina","","45.5902102","13.9080572"
17255444,"Balinišče",206060,"6243 Obrov","","45.5425337","14.0866721"
17255452,"Osnovna šola Prešnica",206061,,"","45.571364","13.938617"
17255517,"Prostori vaškega doma",206062," Rodik 6, 6240 Kozina","","45.6260408","13.9792214"
17255479,"Krajevna skupnost Slivje",206063,"Slivje 1, 6242 Materija","","45.5705156","14.045087"
17255487,"Vaški dom Tatre",206064,,"","45.597833","14.086169"
17258303,"Vaški dom Klanec pri Kozini",206068,,"","45.593292","13.926028"
16923222,"Osnovna šola Antona Žnideršiča Ilirska Bistrica",207001,"Rozmanova ulica 25b, 6250 Ilirska Bistrica","","45.5604509","14.2498196"
16926256,"Levstikova 5",207002,"Levstikova ulica 5, 6250 Ilirska Bistrica","","45.56532869999999","14.2487825"
16926264,"Osnovna šola Dragotina Ketteja",207003,"Župančičeva ulica 7, 6250 Ilirska Bistrica","","45.5680844","14.2444868"
16923621,"Jurčičeva 1",207004,"Jurčičeva ulica 1, 6250 Ilirska Bistrica","","45.5705852","14.2421982"
16923630,"Predavalnica",207005,"Šercerjeva cesta 17, 6250 Ilirska Bistrica","","45.5747531","14.2389247"
16923648,"Vaški dom Jasen",207006,"Jasen 15c, 6250 Ilirska Bistrica","","45.5581099","14.2615896"
16923656,"Gasilski dom Vrbovo",207007,"Vrbovo 23, 6250 Ilirska Bistrica","","45.5534294","14.2751904"
16923664,"Vaški dom",207008,"Vrbica 24, 6250 Ilirska Bistrica","","45.5459623","14.2858611"
16923672,"Jablanica 32a",207009,"Jablanica 32a, 6250 Ilirska Bistrica","","45.5385182","14.3022086"
16923699,"Gostilna Celin",207010,"Kuteževo 43, 6250 Kuteževo","","45.5313198","14.3308027"
16923702,"Bar Kočanija",207011,"Trpčane 41b, 6250 Ilirska Bistrica","","45.5277995","14.3177788"
16923729,"Dom na Selih",207012,"Podgraje 75, 6250 Ilirska Bistrica","","45.5207703","14.3475244"
16923745,"Gostilna ""Sabrina"" Sušak",207013,,"","45.487022","14.327447"
16923753,"Bivša gostilna",207014,"Novokračine 46, 6254 Jelšane","","45.4933786","14.3095134"
16923761,"Gasilski dom Jelšane",207015,"Jelšane 11, 6254 Jelšane","","45.5000392","14.2723406"
16923770,"Dolenje pri Jelšanah 6",207016,"Dolenje pri Jelšanah 6, 6254 Jelšane","","45.5053247","14.2678138"
16923788,"Bivša šolska stavba, Veliko Brdo",207017,,"","45.515231","14.220747"
16923796,"Na balincu, Mala Bukovica",207018,,"","45.533556","14.242644"
17366661,"OŠ Kranjska Gora",101004,"Koroška ulica 12, 4280 Kranjska Gora","","46.4859385","13.7841574"
17367030,"Gasilski dom",101005,"Zgornje Rute 85, 4282 Kranjska Gora ","","46.4849575","13.828812"
17367056,"Kulturni dom",101006,"Kulturni dom Dovje Dovje 109, 4281 Mojstrana","","46.46710580000001","13.9451467"
17366688,"OŠ 16.demcember",101007,"ULICA ALOJZA RABIČA 7, 4281 MOJSTRANA","","46.4604208","13.9375129"
17366700,"Hiša TNP",101008,"Zgornja Radovna 21, 4281 Kranjska Gora","","46.4285991","13.9478216"
