"id","name","address","description","lat","lon"
"101001","Vrtec Rateče","Rateče 18, 4283 Rateče Planica","","46.49604129999999","13.7198115"
"101002","KS Podkoren","Podkoren 15, 4280 Podkoren","","46.4934356","13.7574636"
"101003","Občina Kr. Gora","Kolodvorska ulica 1, 4280 Kranjska Gora","","46.4847207","13.7855433"
"101004","OŠ Kranjska Gora","Koroška ulica 12, 4280 Kranjska Gora","","46.4859385","13.7841574"
"101005","Gasilski dom","Zgornje Rute 85, 4282 Kranjska Gora ","","46.4849575","13.828812"
"101006","Kulturni dom","Kulturni dom Dovje Dovje 109, 4281 Mojstrana","","46.46710580000001","13.9451467"
"101007","OŠ 16.demcember","ULICA ALOJZA RABIČA 7, 4281 MOJSTRANA","","46.4604208","13.9375129"
"101008","Hiša TNP","Zgornja Radovna 21, 4281 Kranjska Gora","","46.4285991","13.9478216"
"101009","Prostovoljno gasilsko društvo ","HRUŠICA 13, 4276 HRUŠICA","","46.4476036","14.0195305"
"101010","Kulturni dom na Hrušici","Hrušica 55A, 4276 Hrušica","","46.4476799","14.0197219"
"101011","Krajevna skupnost","Planina pod Golico 31, 4270 Jesenice","","46.4662619","14.0510173"
"101012","hiša Klinar Štefan","Plavški Rovt 14, 4270 Jesenice","","46.4538555","14.0335478"
"101013","Dom upok.dr.F.Bergelja","Plavž 1,pritličje stavbe C, 4270 Jesenice","","46.0497093","14.5068643"
"101014","Avla Zdrav.doma Jesenice","Plavž 2, Cesta m.Tita 78, 4270 Jesenice","","46.43642149999999","14.0604946"
"101015","pritličje OŠ Tone Čufar učil.1","Plavž 3, Jesenice, 4270 Jesenice","","46.43946440000001","14.0441907"
"101016","JEKO d.o.o.","Plavž 4, Cesta maršala Tita 51, 4270 Jesenice","","46.4361901","14.0590557"
"101017","Vrtec A.Ocepek","Plavž 5, Jesen.,C.Cirila Tavčarja 3a, 4270 Jesenice","","46.4387166","14.0433566"
"101018","Krajevna skupnost Sava","Sava 1, Pod gozdom 2, 4270 Jesenice","","46.4368235","14.0585789"
"101019","OŠ Prežihov Voranc","Sava 2, C. Toneta Tomšiča 5, 4270 Jesenice","","46.43574479999999","14.0617736"
"101020","OŠ Prežihov Voranc","Sava 3, C.Toneta Tomšiča 5, 4270 Jesenice","","46.4365855","14.0617842"
"101021","OŠ Polde Stražišar","Sava 4, Ul. V.Kejžarja 35, 4270 Jesenice","","46.4338579","14.063396"
"101022","Srednja šola Jesenice","Sava 5, Ul. bratov Rupar 2, 4270 Jesenice","","46.43282689999999","14.0647541"
"101023","Sejna soba ZŠ Jesenice","Podmežakla1, Ledarska ul.6a, 4270 Jesenice","","46.4332552","14.0496375"
"101024","Krajevna skupnost","Krajevna skupnost, Mencingerjeva u.1, 4270 Jesenice","","46.4330743","14.0524396"
"101025","Gasilski dom Javorniški Rovt","Javorniški Rovt, 4270 Jesenice","","46.4448392","14.0788331"
"101026","OŠ Koroška Bela","Javornik-Kor. Bela 1, C.Talcev 2, 4270 Jesenice","","46.4258592","14.0977582"
"101027","OŠ Koroška Bela ","Javornik-Kor. Bela 2, C.Talcev 2, 4270 Jesenice","","46.42628999999999","14.0970825"
"101028","Delavski dom","Javornik-Kor.Bela 3, Kidričeva 37 c, 4270 Jesenice","","46.4367047","14.0526057"
"101029","Delavski dom","Javornik-Kor. Bela 4, Kidričeva 37 c, 4270 Jesenice","","46.4367047","14.0526057"
"101030","Bl. Dobrava-podružnična šola","Blejska Dobrava 44, 4270 Jesenice","","46.4098126","14.0975835"
"101031","Orodišče Kočna","Kočna","","46.3586111","14.5219444"
"101032","TVD PARTIZAN","Žirovnica 63, Moste, 4274 Žirovnica","","46.41091180000001","14.134489"
"101033","Elektrarna Moste","Moste 41, Breg, 4274 Žirovnica","","46.3931188","14.1260133"
"101034","Čopova rojstna hiša","Žirovnica 14, 4274 Žirovnica","","46.4044239","14.1375549"
"101035","OŠ Žirovnica","Zabreznica 4, Selo, 4274 Žirovnica","","46.39925849999999","14.1453536"
"101036","Občina Žirovnica","Breznica3, Breznica,Doslovče,Vrba, 4274 Žirovnica","","46.400422","14.160841"
"101037","Gasilski dom Smokuč","Smokuč 46, Smokuč, Rodine, 4274 Žirovnica","","46.3878736","14.1687782"
"102001","Gasilski dom Mlino","Mlinska cesta 26, 4260 Bled","","46.3573931","14.1010745"
"102002","Gasilski dom Rečica","Rečiška cesta 4, 4260 Bled","","46.3763286","14.0911989"
"102003","Občina Bled","Cesta svobode 13, 4260 Bled","","46.3687079","14.1095897"
"102004","Osnovna šola Bled","Seliška cesta 3, 4260 Bled","","46.3725123","14.1098876"
"102005","INFOCENTER TRIGLAVSKA ROŽA BLED","Ljubljanska cesta 27, 4260 Bled ","","46.36878189999999","14.1188927"
"102006","Kulturni dom Bohinjska Bela","Bohinjska Bela  37, 4263 Bled","","46.3495551","14.0671114"
"102007","Gostilna Kunavc","Krnica 21, Zgornje Gorje, Krnica 4247","","46.3775413","14.0554063"
"102008","Osnovna šola Gorje","Zg. Gorje 44 a, Zg. Gorje, Krnica 4247","","46.38086730000001","14.0661025"
"102009","Osnovna šola Gorje","Zg. Gorje 44a, Zg. Gorje, Krnica 4274","","46.376199","14.0586403"
"102010","Dom upokojencev Spodnje Gorje","Sp. Gorje 208, 4247 Zgornje Gorje","","46.3829164","14.0779833"
"102011","Gasilski dom Podhom","Podhom 15, Zg. Gorje, Krnica 4274","","46.3882787","14.0917805"
"102012","Zadružni dom Ribno","Izletniška ul.11, 4260 Bled","","46.3516418","14.122432"
"102013","Natura hotel LUKANC","Selo pri Bledu 8, 4260 Bled ","","46.3498812","14.1128703"
"102014","Kulturni dom Zasip","Sebenje 6, 4260 Bled","","46.38852869999999","14.1058049"
"102015","Vrtec Bohinjska Bistrica","Mencingerjeva ulica 4, 4264 Bohinjska Bistrica","","46.2733089","13.951843"
"102016","Dom Joža Ažmana","Triglavska cesta 16, 4264 Bohinjska Bistrica","","46.27263079999999","13.9560425"
"102017","Gasilski dom Bitnje","Bitnje 13, 4264 Bohinjska Bistrica","","46.2843617","13.9624674"
"102018","Gasilski dom Nomenj","Nomenj 23, 4264 Boh. Bistrica","","46.2926314","14.0063934"
"102019","Turistično društvo Bohinj","Ribčev Laz 48, 4265 Bohinjsko jezero","","46.2767947","13.8875601"
