"st","naz","knaz","hcol"
1,"DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE","DeSUS","1CA5B8"
2,"DOMOVINSKA LIGA - DOM","DOM",""
3,"Državljansko gibanje Resni.ca","Resni.ca",""
4,"GIBANJE SVOBODA","GS",""
5,"Gibanje Zedinjena Slovenija - ZSi","ZSi",""
6,"LEVICA","LEVICA","F80000"
7,"Lista Borisa Popoviča - Digitalizirajmo Slovenijo","LBP",""
8,"LISTA MARJANA ŠARCA - LMŠ","LMŠ","2D587B"
9,"NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC","ND",""
10,"NAŠA PRIHODNOST IN DOBRA DRŽAVA","DD","4AC9F6"
11,"NESTRANKARSKA LJUDSKA LISTA GIBANJA ZDRAVA DRUŽBA","ZD","ADA702"
13,"NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI","NSi","0061D5"
15,"PIRATSKA STRANKA SLOVENIJE","Pirati","000000"
16,"POVEŽIMO SLOVENIJO (KONKRETNO, ZELENI, SLS, NLS, NS)","PovSlo","10A851"
17,"SLOVENSKA DEMOKRATSKA STRANKA - SDS","SDS","FFE53F"
18,"SLOVENSKA NACIONALNA STRANKA - SNS","SNS","DA9694"
19,"SOCIALNI DEMOKRATI - SD","SD","A62424"
20,"STRANKA ALENKE BRATUŠEK","STRANKA AB","F3808A"
21,"VESNA - zelena stranka","VESNA","81D742"
22,"ZA LJUDSTVO SLOVENIJE  - ZLS","ZLS",""
23,"ZOS - ZAVEZNIŠTVO OSVOBODIMO SLOVENIJO (GIBANJE ZEDINJENA SLOVENIJA - ZSI IN STRANKA SLOVENSKEGA NARODA - SSN)","ZOS",""
