24;04;2022;20;50
4;Katarina Štravs;1;1
4;Eva Knez;1;2
4;Andreja Kert;1;4
4;Sandra Gazinkovski;1;5
12;dr. Marija Klopčič;1;8
12;mag. Matej Tonin;1;6
15;mag. Branko Grims;1;6
15;Andrej Hoivik;1;8
15;Žan Mahnič;1;9
15;Nežka Poljanšek;1;10
15;Andrej Poglajen;1;11
4;Dani (Danijel) Bešič Loredan;2;2
4;Tamara Kozlovič;2;4
4;Mateja Čalušić;2;5
4;Andreja Živic;2;6
4;Matej Arčon;2;9
12;Andrej Černigoj;2;7
15;Danijel Krivec;2;1
15;mag. Elena Zavadlav Ušaj;2;9
15;Eva Irgl;2;11
17;Romina Kralj;2;3
17;mag. Miloš Bizjak;2;11
4;Bojan Čebela;3;2
4;Lucija Tacer;3;5
4;Lenart Žavbi;3;9
4;mag. Urška Klakočar Zupančič;3;10
4;dr. Robert Golob;3;7
12;Peter Kolenc;3;4
15;Zoran Mojškerc;3;1
15;Alenka Jeraj;3;3
15;mag. Mojca Gregorič;3;4
15;dr. Anže Logar;3;6
17;Tanja Fajon;3;9
4;Miroslav Gregorič;4;6
4;Martin Premk;4;7
4;dr. Mirjam Bon Klanjšček;4;8
4;Tereza Novak;4;9
4;Monika Pekošak;4;11
12;Janez Cigler Kralj;4;2
15;Jože Tanko;4;2
15;Maruša Babnik;4;5
15;Janez (Ivan) Janša;4;3
15;Rado Gladek;4;10
17;Predrag Baković;4;1
4;Miha Lamut;5;2
4;Janja Sluga;5;3
4;Aleš Rezar;5;4
4;Tatjana Zafošnik Kanduti;5;7
4;Damaz Topler;5;11
12;Aleksander Reberšek;5;5
15;Jelka Godec;5;1
15;Franc Rosec;5;8
15;Boštjan Konečnik;5;9
15;Alenka Helbl;5;11
17;Jani Prednik;5;10
4;Jožica Derganc;6;3
4;Nataša Avšič Bogovič;6;5
4;Tamara Vonta;6;6
4;Gapi (Gašper) Ovnik;6;10
4;Teo (Teodor) Uranič;6;11
12;Mark Boris Andrijanič;6;3
15;Anja Bah Žibert;6;2
15;Franci Kepa;6;4
15;Tomaž Lisec;6;7
15;Boris Doblekar;6;9
17;Matjaž Han;6;8
4;David Stupica;7;1
4;Lena Grgurevič;7;8
4;Barbara Kolenko Helbl;7;9
4;Rastislav Vrečko;7;10
4;Martin Marzidovšek;7;11
12;Aleš Bandur;7;6
15;mag. Karmen Furman;7;2
15;Bojan Podkrajšek;7;3
15;Luka Simonič;7;6
15;mag. Dejan Kaloh;7;7
17;Gorazd Prah;7;1
4;Sara Žibrat mag;8;3
4;Simon Detellbach;8;4
4;Vera Granfol;8;6
4;mag. Darko Krajnc;8;8
4;Dejan Zavec;8;10
12;Jožef Horvat;8;1
15;Janez Magyar;8;1
15;Marijan Pojbič;8;8
15;Jožef Lenart;8;9
15;Suzana Lep Šimenko;8;11
17;mag. Dejan Židan;8;5
