OMNIA_ST,OVK,NAZIV,name,Naslov,Posta,Kraj,lat,lon
1,1001,OVK JESENICE,UE Jesenice,Cesta železarjev 6 a,4270 Jesenice,Jesenice,46.43201,14.06227
2,1002 - 1003,"OVK RADOVLJICA 1,2",Občina Radovljica,Gorenjska cesta 19,4240 Radovljica,Radovljica,46.34381,14.17157
3,1004 - 1006,"OVK KRANJ 1, 2, 3",Mestna Občina Kranj,Slovenski trg 1,4000 Kranj,Kranj,46.24328,14.35576
4,1007,OVK TRŽIČ,Društvo upokojencev Tržič,Trg svobode 18,4290 Tržič,Tržič,46.36354,14.30900
5,1008 - 1009,"OVK ŠKOFJA LOKA 1, 2",Občina Škofja Loka,Mestni trg 15,4220 Škofja Loka,Škofja Loka,46.16478,14.30709
6,1010,OVK KAMNIK,Občina Kamnik,Glavni trg 24,1241 Kamnik,Kamnik,46.22635,14.61196
7,1011,OVK IDRIJA,UE Idrija,Študentovska ulica 2,5280 Idrija,Idrija,46.00126,14.02100
8,2001,OVK TOLMIN,UE Tolmin,Tumov drevored 4,5220 Tolmin,Tolmin,46.18309,13.73136
9,2002,OVK PIRAN,UE Piran,Obala 114 a,6320 Portorož,Portorož,45.50289,13.60365
10,2003,OVK IZOLA,UE Izola,Cesta v Pregavor 3a,6310 Izola,Izola,45.52994,13.66681
11,2004 - 2005,"OVK KOPER 1, 2",UE Koper (dvojezično volišče),Piranska cesta 2,6000 Koper,Koper,45.54399,13.72619
12,2006,OVK SEŽANA,Stara stavba Občine Sežana,Partizanska cesta 4,6210 Sežana,Sežana,45.70966,13.87440
13,2007,OVK ILIRSKA BISTRICA,Dom na Vidmu,Gregorčičeva cesta 2,6250 Ilirska Bistrica,Ilirska Bistrica,45.56723,14.24332
14,2008,OVK POSTOJNA,Upravna enota Postojna,Gregorčičev drevored 3,6230 Postojna,Postojna,45.77511,14.21519
15,2009 - 2010,"OVK NOVA GORICA 1, 2",UE Nova Gorica,Trg Edvarda Kardelja 1,5000 Nova Gorica,Nova Gorica,45.95725,13.64883
16,2011,OVK AJDOVŠČINA,UE Ajdovščina,Vipavska cesta 11b,5270 Ajdovščina,Ajdovščina,45.88536,13.91133
17,3001,OVK  LOGATEC,UE Cerknica,Cesta 4. maja 24,1380 Cerknica,Cerknica,45.79326,14.36661
18,3002,OVK VRHNIKA,UE Vrhnika,Stara Vrhnika 1 d,1360 Vrhnika,Vrhnika,45.97379,14.28999
19,3003 - 3011 in 4005 - 4009,OVK LJUBLJANA,Gospodarsko razstavišče,Dunajska cesta 18,1000 Ljubljana,Ljubljana,46.06188,14.50819
20,4001,OVK KOČEVJE,Gimnazija Kočevje (avla),Ljubljanska cesta 12,1330 Kočevje,Kočevje,45.64108,14.85788
21,4002,OVK RIBNICA - DOBREPOLJE,UE Ribnica,Gorenjska cesta 9,1310 Ribnica,Ribnica,45.74110,14.72529
22,4003,OVK GROSUPLJE,UE Grosuplje,Taborska cesta 1,1290 Grosuplje,Grosuplje,45.95713,14.65332
23,4004,OVK IVANČNA GORICA,Kulturni dom Ivančna Gorica,Sokolska ulica 4,1295 Ivančna Gorica,Ivančna Gorica,45.93863,14.80448
24,4010 - 4011,"OVK DOMŽALE 1, 2",Domžalski dom,Ljubljanska cesta 58,1230 Domžale,Domžale,46.13807,14.59107
25,5001,OVK ŠENTJUR,Gasilski dom Šentjur,Ulica A.M. Slomška 2,3230 Šentjur,Šentjur,46.21949,15.39668
