DZ22PV_ID,OVK,OVK_DUP,OVK_ime,OB_MID,OB_ID,obmocje,name,sedez_naslov,sedez_posta,lat,lon
1,1001,1,Jesenice,,,"Občine Jesenice, Kranjska gora in Žirovnica",Upravna enota Jesenice,Cesta železarjev 6 A,4270 Jesenice,46.43201,14.06227
2,1002,2,Radovljica 1,,,Občini Bled in Gorje,Občina Bled,Cesta svobode 13,4260 Bled,46.36874,14.10961
3,1002,2,Radovljica 1,11026559,4,Del občine Bohinj (v skladu z ZDVEDZ),Dom Joža Ažmana,Triglavska 16,4264 Bohinjska Bistrica,46.27255,13.95612
4,1003,1,Radovljica 2,,,Občina Radovljica,Občina Radovljica,Gorenjska cesta 19,4240 Radovljica,46.34381,14.17157
5,1004,1,Kranj 1,,,Del mestne občine Kranj (v skladu z ZDVEDZ),Mestna občina Kranj,Slovenski trg 1,4000 Kranj,46.24328,14.35576
6,1005,1,Kranj 2,,,"Del mestne občine Kranj, ki obsega območje naselij: Breg ob Savi, Čepulje, Jama, Jamnik, Javornik, del Kranj, Lavtarski Vrh, Mavčiče, Meja, Nemilje, Njivica, Planica, Podblica, Podreča, Praše, Pševo, Rakovica, Spodnja Besnica, Spodnje Bitnje, Srednje Bitnje, Sveti Jošt nad Kranjem, Šutna, Zabukovje, Zgornja Besnica, Zgornje Bitnje, Žabnica in del naselja Kranj (v skladu z ZDVEDZ) ",Šmartinski dom Stražišče,Škofjeloška cesta 18,4000 Kranj,46.23162,14.34640
7,1006,1,Kranj 3,,,"Občine Naklo, Cerklje na Gorenjskem, Šenčur, Jezersko, Preddvor in del mestne občine Kranj, ki obsega območje naselij: Babni Vrt, Čadovlje, Golnik, Goriče, Hrastje, Letenice, Pangršica, Povlje, Srednja vas – Goriče, Tenetiše, Trstenik, Zalog, Žablje",Mestna občina Kranj,Slovenski trg 1,4000 Kranj,46.24328,14.35576
8,1007,1,Tržič,,,Občina Tržič,Društvo upokojencev Tržič,Trg svobode 18,4290 Tržič,46.36354,14.30900
9,1008,1,Škofja Loka 1,,,Občina Škofja Loka,Občina Škofja Loka,Mestni trg 15,4220 Škofja Loka,46.16478,14.30709
10,1009,2,Škofja Loka 2,146,146,Občina Železniki,Občina Železniki,Česnjica 48,4228 Železniki,46.22618,14.17506
